name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Maricaulis	74317	G	2556	1827	4383	0.12670
Glycocaulis	1433402	G	250	136	386	0.01116
Hyphomonas	85	G	132	42	174	0.00505
Hirschia	2723	G	5	0	5	0.00017
Labrenzia	478070	G	101	44	145	0.00420
Paracoccus	265	G	57	126	183	0.00531
Sulfitobacter	60136	G	53	104	157	0.00456
Phaeobacter	302485	G	42	67	109	0.00317
Rhodobacter	1060	G	30	158	188	0.00544
Ruegeria	97050	G	28	25	53	0.00155
Roseovarius	74030	G	23	22	45	0.00130
Octadecabacter	53945	G	19	10	29	0.00086
Roseivivax	93682	G	19	8	27	0.00079
Monaibacterium	2029873	G	18	32	50	0.00146
Stappia	152161	G	18	32	50	0.00145
Leisingera	191028	G	16	25	41	0.00120
Rhodovulum	34008	G	15	10	25	0.00073
Celeribacter	875170	G	15	52	67	0.00195
Dinoroseobacter	309512	G	14	55	69	0.00201
Boseongicola	1648497	G	13	2	15	0.00043
Pseudovibrio	258255	G	12	8	20	0.00059
Roseobacter	2433	G	12	2	14	0.00041
Parasedimentitalea	2738399	G	9	3	12	0.00036
Pannonibacter	227873	G	9	150	159	0.00460
Halovulum	1844498	G	9	5	14	0.00042
Thioclava	285107	G	9	14	23	0.00068
Silicimonas	1955420	G	9	3	12	0.00035
Jannaschia	188905	G	8	1	9	0.00026
Tabrizicola	1443919	G	7	4	11	0.00034
Brevirhabdus	1855413	G	6	25	31	0.00091
Yoonia	2211641	G	6	12	18	0.00052
Yangia	354203	G	6	5	11	0.00033
Pseudorhodobacter	238783	G	6	2	8	0.00026
Haematobacter	366614	G	6	56	62	0.00180
Marinovum	367771	G	6	18	24	0.00071
Thalassococcus	436357	G	6	1	7	0.00021
Paraoceanicella	2683599	G	6	13	19	0.00056
Epibacterium	1649279	G	5	19	24	0.00071
Confluentimicrobium	1609958	G	5	25	30	0.00089
Antarctobacter	74032	G	5	1	6	0.00019
Defluviimonas	1097466	G	4	20	24	0.00072
Roseibacterium	159345	G	4	2	6	0.00018
Pseudohalocynthiibacter	1759417	G	4	6	10	0.00030
Pelagibaca	360528	G	4	19	23	0.00067
Maribius	387095	G	4	1	5	0.00016
Ketogulonicigenium	92944	G	3	3	6	0.00019
Rhodobaca	119541	G	3	1	4	0.00012
Tateyamaria	299261	G	3	0	3	0.00010
Salipiger	263377	G	3	14	17	0.00051
Gemmobacter	204456	G	3	6	9	0.00026
Litoreibacter	947567	G	3	1	4	0.00012
Sagittula	58842	G	2	10	12	0.00035
Marivivens	1759396	G	2	6	8	0.00025
Planktomarina	1284657	G	2	0	2	0.00007
Thalassobius	335927	G	1	0	1	0.00004
Oceanicola	252301	G	1	0	1	0.00004
Rhizobium	379	G	148	196	344	0.00995
Agrobacterium	357	G	47	122	169	0.00489
Neorhizobium	1525371	G	11	18	29	0.00085
Sinorhizobium	28105	G	42	81	123	0.00356
Ensifer	106591	G	16	39	55	0.00160
Georhizobium	2661800	G	16	69	85	0.00247
Shinella	323620	G	6	59	65	0.00188
Bradyrhizobium	374	G	140	115	255	0.00740
Bosea	85413	G	57	70	127	0.00368
Rhodopseudomonas	1073	G	24	53	77	0.00225
Variibacter	1649510	G	16	11	27	0.00081
Nitrobacter	911	G	5	6	11	0.00032
Tardiphaga	1395974	G	5	0	5	0.00014
Oligotropha	40136	G	2	2	4	0.00012
Mesorhizobium	68287	G	144	237	381	0.01102
Hoeflea	274591	G	17	14	31	0.00090
Salaquimonas	2712688	G	15	6	21	0.00062
Aminobacter	31988	G	12	56	68	0.00199
Roseitalea	1915401	G	11	18	29	0.00084
Chelativorans	449972	G	9	13	22	0.00064
Nitratireductor	245876	G	8	12	20	0.00059
Phyllobacterium	28100	G	7	11	18	0.00053
Oricola	1594166	G	5	7	12	0.00037
Devosia	46913	G	54	39	93	0.00270
Hyphomicrobium	81	G	22	21	43	0.00126
Blastochloris	59282	G	10	16	26	0.00077
Rhodomicrobium	1068	G	6	3	9	0.00027
Youhaiella	1827478	G	6	7	13	0.00038
Filomicrobium	119044	G	3	0	3	0.00010
Maritalea	623276	G	3	1	4	0.00012
Rhodoplanes	29407	G	2	2	4	0.00013
Pelagibacterium	1082930	G	2	3	5	0.00017
Methylobacterium	407	G	54	48	102	0.00297
Microvirga	186650	G	17	22	39	0.00114
Methylorubrum	2282523	G	15	66	81	0.00236
Pyruvatibacter	1742974	G	33	28	61	0.00179
Candidatus Phaeomarinobacter	1541445	G	18	7	25	0.00072
Parvibaculum	256616	G	14	222	236	0.00684
Methylocystis	133	G	18	14	32	0.00095
Terasakiella	196080	G	16	3	19	0.00056
Methylosinus	425	G	14	26	40	0.00117
Ancylobacter	99	G	10	33	43	0.00127
Starkeya	152053	G	10	21	31	0.00090
Pseudolabrys	556257	G	8	16	24	0.00070
Labrys	204476	G	7	7	14	0.00041
Azorhizobium	6	G	6	12	18	0.00052
Xanthobacter	279	G	3	22	25	0.00074
Ochrobactrum	528	G	25	134	159	0.00461
Brucella	234	G	17	26	43	0.00127
Methyloceanibacter	1484898	G	12	6	18	0.00055
Nordella	169055	G	10	4	14	0.00043
Methyloligella	1485594	G	7	7	14	0.00040
Hartmannibacter	1572860	G	5	10	15	0.00046
Martelella	293088	G	23	97	120	0.00348
Aureimonas	414371	G	9	12	21	0.00062
Cohaesibacter	655352	G	21	10	31	0.00090
Breoghania	1406135	G	5	7	12	0.00036
Methylocella	120652	G	7	32	39	0.00113
Beijerinckia	532	G	1	0	1	0.00005
Methylovirgula	1156568	G	1	1	2	0.00007
Chelatococcus	28209	G	12	24	36	0.00107
Lichenihabitans	2723776	G	6	5	11	0.00033
Bartonella	773	G	5	5	10	0.00032
Sphingomonas	13687	G	162	246	408	0.01179
Sphingobium	165695	G	73	337	410	0.01186
Sphingopyxis	165697	G	51	151	202	0.00586
Sphingorhabdus	1434046	G	45	8	53	0.00156
Novosphingobium	165696	G	41	43	84	0.00245
