name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alteromonas	226	G	11077	852	11929	0.84474
Marinobacter	2742	G	38	5	43	0.00306
Lacimicrobium	1751872	G	2	0	2	0.00014
Shewanella	22	G	8	2	10	0.00075
Pseudoalteromonas	53246	G	2	0	2	0.00015
Psychromonas	67572	G	1	0	1	0.00008
Pseudomonas	286	G	58	12	70	0.00500
Acinetobacter	469	G	4	0	4	0.00031
Psychrobacter	497	G	1	0	1	0.00007
Cronobacter	413496	G	2	0	2	0.00014
Enterobacter	547	G	1	0	1	0.00007
Escherichia	561	G	1	12	13	0.00096
Klebsiella	570	G	1	0	1	0.00007
Kluyvera	579	G	1	1	2	0.00018
Salmonella	590	G	1	1	2	0.00021
Limnobaculum	2172100	G	1	0	1	0.00012
Raoultella	160674	G	1	7	8	0.00061
Dickeya	204037	G	3	1	4	0.00034
Serratia	613	G	3	1	4	0.00034
Morganella	581	G	1	1	2	0.00016
Providencia	586	G	1	0	1	0.00008
Photorhabdus	29487	G	1	0	1	0.00008
Methylophaga	40222	G	31	8	39	0.00277
Hydrogenovibrio	28884	G	2	0	2	0.00015
Thiomicrorhabdus	2039723	G	2	0	2	0.00015
Beggiatoa	1021	G	1	0	1	0.00007
Lysobacter	68	G	3	0	3	0.00028
Xanthomonas	338	G	3	0	3	0.00026
Thermomonas	141948	G	2	1	3	0.00024
Luteimonas	83614	G	1	0	1	0.00012
Rhodanobacter	75309	G	1	0	1	0.00007
Dyella	231454	G	1	0	1	0.00008
Dokdonella	323413	G	1	0	1	0.00008
Halomonas	2745	G	5	0	5	0.00042
Salinicola	404432	G	1	0	1	0.00010
Alcanivorax	59753	G	2	0	2	0.00018
Ketobacter	2025617	G	1	0	1	0.00011
Marinobacterium	48075	G	1	0	1	0.00008
Kangiella	261963	G	1	0	1	0.00008
Sulfuriflexus	1860077	G	3	0	3	0.00024
Nitrosococcus	1227	G	2	0	2	0.00015
Spiribacter	1335745	G	1	0	1	0.00008
Halothiobacillus	109262	G	1	0	1	0.00013
Thiohalobacter	1273155	G	1	1	2	0.00021
Microbulbifer	48073	G	4	0	4	0.00029
Cellvibrio	10	G	1	0	1	0.00007
Kineobactrum	2678529	G	1	0	1	0.00007
Oceanicoccus	1084558	G	1	0	1	0.00007
Vibrio	662	G	3	0	3	0.00022
Photobacterium	657	G	1	0	1	0.00007
Salinivibrio	51366	G	1	0	1	0.00007
Aeromonas	642	G	1	0	1	0.00008
Oceanimonas	129577	G	1	0	1	0.00011
Zobellella	347533	G	1	0	1	0.00011
Methylococcus	413	G	1	0	1	0.00010
Methylomicrobium	39773	G	1	0	1	0.00012
Haemophilus	724	G	1	0	1	0.00009
Rodentibacter	1960084	G	1	0	1	0.00008
Basfia	697331	G	1	1	2	0.00015
Candidatus Thioglobus	655184	G	1	0	1	0.00007
Maricaulis	74317	G	256	254	510	0.03616
Glycocaulis	1433402	G	34	22	56	0.00399
Hyphomonas	85	G	9	2	11	0.00083
Hirschia	2723	G	1	0	1	0.00009
Labrenzia	478070	G	10	5	15	0.00107
Ruegeria	97050	G	8	7	15	0.00111
Paracoccus	265	G	7	49	56	0.00400
Roseovarius	74030	G	7	7	14	0.00105
Stappia	152161	G	5	14	19	0.00137
Roseobacter	2433	G	4	0	4	0.00034
Leisingera	191028	G	4	8	12	0.00090
Sulfitobacter	60136	G	4	5	9	0.00067
Phaeobacter	302485	G	3	2	5	0.00038
Celeribacter	875170	G	3	13	16	0.00118
