name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Maricaulis	74317	G	4028	2172	6200	0.13136
Glycocaulis	1433402	G	413	178	591	0.01254
Hyphomonas	85	G	197	52	249	0.00529
Hirschia	2723	G	5	0	5	0.00012
Labrenzia	478070	G	147	37	184	0.00391
Paracoccus	265	G	91	126	217	0.00461
Sulfitobacter	60136	G	71	117	188	0.00398
Phaeobacter	302485	G	70	99	169	0.00360
Ruegeria	97050	G	61	44	105	0.00224
Roseovarius	74030	G	44	62	106	0.00225
Rhodobacter	1060	G	42	168	210	0.00446
Leisingera	191028	G	34	52	86	0.00182
Octadecabacter	53945	G	33	13	46	0.00098
Celeribacter	875170	G	33	115	148	0.00315
Stappia	152161	G	33	34	67	0.00143
Roseivivax	93682	G	26	17	43	0.00092
Rhodovulum	34008	G	24	19	43	0.00092
Dinoroseobacter	309512	G	21	77	98	0.00208
Boseongicola	1648497	G	21	2	23	0.00050
Pseudovibrio	258255	G	17	7	24	0.00052
Thioclava	285107	G	17	21	38	0.00082
Monaibacterium	2029873	G	15	24	39	0.00085
Brevirhabdus	1855413	G	15	57	72	0.00154
Pannonibacter	227873	G	14	162	176	0.00374
Halovulum	1844498	G	14	6	20	0.00044
Ketogulonicigenium	92944	G	14	10	24	0.00053
Pseudorhodobacter	238783	G	13	5	18	0.00039
Roseobacter	2433	G	11	1	12	0.00026
Paraoceanicella	2683599	G	11	20	31	0.00066
Yangia	354203	G	11	7	18	0.00040
Gemmobacter	204456	G	10	18	28	0.00061
Planktomarina	1284657	G	10	1	11	0.00025
Pelagibaca	360528	G	8	31	39	0.00083
Tabrizicola	1443919	G	8	3	11	0.00025
Yoonia	2211641	G	8	15	23	0.00049
Thalassococcus	436357	G	7	1	8	0.00017
Sagittula	58842	G	7	33	40	0.00085
Pseudohalocynthiibacter	1759417	G	7	9	16	0.00036
Epibacterium	1649279	G	7	22	29	0.00062
Haematobacter	366614	G	6	33	39	0.00084
Silicimonas	1955420	G	6	1	7	0.00016
Litoreibacter	947567	G	6	1	7	0.00017
Rhodobaca	119541	G	6	1	7	0.00016
Tateyamaria	299261	G	6	1	7	0.00015
Marinovum	367771	G	5	14	19	0.00041
Parasedimentitalea	2738399	G	5	1	6	0.00014
Roseibacterium	159345	G	4	1	5	0.00012
Confluentimicrobium	1609958	G	4	18	22	0.00048
Mameliella	1434019	G	4	6	10	0.00023
Thalassobius	335927	G	4	1	5	0.00012
Marivivens	1759396	G	3	9	12	0.00026
Defluviimonas	1097466	G	3	10	13	0.00029
Antarctobacter	74032	G	3	0	3	0.00008
Maribius	387095	G	3	0	3	0.00008
Jannaschia	188905	G	3	0	3	0.00007
Salipiger	263377	G	2	8	10	0.00023
Oceanicola	252301	G	2	0	2	0.00005
Rhizobium	379	G	231	257	488	0.01036
Agrobacterium	357	G	86	208	294	0.00624
Neorhizobium	1525371	G	17	22	39	0.00084
Sinorhizobium	28105	G	82	197	279	0.00593
Ensifer	106591	G	29	84	113	0.00241
Georhizobium	2661800	G	21	82	103	0.00218
Shinella	323620	G	16	111	127	0.00270
Bradyrhizobium	374	G	221	159	380	0.00805
Bosea	85413	G	76	101	177	0.00375
Rhodopseudomonas	1073	G	22	57	79	0.00168
Variibacter	1649510	G	15	9	24	0.00053
Nitrobacter	911	G	11	10	21	0.00046
Tardiphaga	1395974	G	11	0	11	0.00023
Afipia	1033	G	1	4	5	0.00011
Oligotropha	40136	G	1	2	3	0.00007
Mesorhizobium	68287	G	198	341	539	0.01143
Aminobacter	31988	G	21	68	89	0.00189
Chelativorans	449972	G	19	23	42	0.00089
Hoeflea	274591	G	17	12	29	0.00062
Salaquimonas	2712688	G	17	5	22	0.00048
Roseitalea	1915401	G	16	22	38	0.00082
Phyllobacterium	28100	G	8	12	20	0.00043
Nitratireductor	245876	G	7	9	16	0.00035
Oricola	1594166	G	6	8	14	0.00030
Devosia	46913	G	62	42	104	0.00222
Hyphomicrobium	81	G	42	30	72	0.00154
Filomicrobium	119044	G	11	2	13	0.00028
Pelagibacterium	1082930	G	11	16	27	0.00058
Blastochloris	59282	G	8	16	24	0.00053
Youhaiella	1827478	G	6	7	13	0.00029
Rhodomicrobium	1068	G	5	2	7	0.00016
Rhodoplanes	29407	G	4	4	8	0.00018
Maritalea	623276	G	3	0	3	0.00008
Methylobacterium	407	G	65	61	126	0.00268
Methylorubrum	2282523	G	20	80	100	0.00212
Microvirga	186650	G	17	23	40	0.00085
Pyruvatibacter	1742974	G	50	32	82	0.00176
Candidatus Phaeomarinobacter	1541445	G	29	8	37	0.00079
Parvibaculum	256616	G	16	219	235	0.00500
Pseudolabrys	556257	G	27	51	78	0.00166
Labrys	204476	G	15	13	28	0.00061
Azorhizobium	6	G	13	23	36	0.00078
Starkeya	152053	G	10	25	35	0.00074
Xanthobacter	279	G	8	40	48	0.00104
Ancylobacter	99	G	7	23	30	0.00064
Methylocystis	133	G	38	30	68	0.00145
Methylosinus	425	G	18	29	47	0.00100
Terasakiella	196080	G	16	2	18	0.00039
Methyloceanibacter	1484898	G	21	10	31	0.00067
Hartmannibacter	1572860	G	12	23	35	0.00075
Nordella	169055	G	11	5	16	0.00034
Methyloligella	1485594	G	9	8	17	0.00037
Pseudorhodoplanes	1734920	G	3	2	5	0.00011
Ochrobactrum	528	G	38	159	197	0.00419
Brucella	234	G	15	28	43	0.00092
Martelella	293088	G	29	90	119	0.00254
Aureimonas	414371	G	10	12	22	0.00047
Cohaesibacter	655352	G	25	8	33	0.00072
Breoghania	1406135	G	13	54	67	0.00144
Methylocella	120652	G	14	12	26	0.00056
