Sample	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate
01_1A3 | 01_1A3	45.44236915701158	153	99.98671333520902	99.95618316188052	99.66512606608303	44.55635139021622	2.0668885692407044	28					
01_1A3 | snp_1A3_all									29.0857	99.57871885263556	818317.0	821779.0	0.3
02_DE | 02_DE	45.54524586580053	156	99.94853754917777	99.87141082322738	99.53085705065703	42.84286969444114	1.0271066073903738	28					
02_DE | snp_DE_all									28.4919	98.53049208987086	741707.0	752769.0	0.52
03_MIT9313 | 03_MIT9313	51.54554671333139	114	99.99510550742407	99.92612634510404	99.51154623242286	49.137470119745004	2.1783810262921355	29					
03_MIT9313 | snp_MIT9313_all									29.7018	98.87231568620327	544213.0	550420.0	0.21
04_MIT0604 | 04_MIT0604	32.475994682659895	160	99.75674990913232	99.75107594627376	99.68602199587542	73.07468676635239	10.39335168850955	36					
04_MIT0604 | snp_MIT0604_all									36.2127	68.24896262470376	366615.0	537173.0	0.19
04_Maricaulis | 04_Maricaulis	60.340425531914896	148	0.8532465759117545	0.00471980954529533	0.0	0.0	0.0	0					
04_Maricaulis | snp_Maricaulis_filtered									0.018	0.24679140628340696	404.0	163701.0	11.37
05_1A3 | 05_1A3	45.28870020862646	157	99.86483619905378	99.4852642657558	97.42887888837714	14.03100836837799	0.11276903538953245	22					
05_1A3 | snp_1A3_filtered									22.0633	95.82112016492916	606082.0	632514.0	0.29
05_MIT9313 | 05_MIT9313	50.944241643404176	126	94.3879250379427	56.2265204347139	15.18379441803861	0.0	0.0	6					
05_MIT9313 | snp_MIT9313_filtered									5.7136	79.7797772917081	96291.0	120696.0	0.31
06_1A3 | 06_1A3	45.3047619047619	152	98.88703173286699	84.58537338113463	43.5013377756066	0.04173765327357957	0.0006447629238966978	9					
06_1A3 | snp_1A3_filtered									9.0282	96.21004723122682	251977.0	261903.0	0.27999999999999997
06_MIT9313 | 06_MIT9313	51.2304692207408	157	99.92811732513492	99.77058103019114	99.47537676186178	81.06167350996921	10.931807689579667	37					
06_MIT9313 | snp_MIT9313_filtered									37.6997	97.94699057658988	535915.0	547148.0	0.29
07_1A3 | 07_1A3	45.330262566268964	156	99.86462127807916	99.38435886816598	95.99363661978309	9.534603673902124	0.2634716228016539	20					
07_1A3 | snp_1A3_filtered									20.4682	95.6988917358373	561363.0	586593.0	0.25
07_MIT9313 | 07_MIT9313	51.021018432568624	129	99.56795733329794	94.74248539844281	71.34942404680794	0.20349475065671233	0.0	12					
07_MIT9313 | snp_MIT9313_filtered									12.4333	89.48232030419315	204502.0	228539.0	0.27
08_1A3 | snp_1A3_filtered										0.0	0.0	24.0	
08_MIT9313 | snp_MIT9313_filtered										0.0	0.0	24.0	
09_1A3 | 09_1A3	45.39935327405012	146	83.89713194406983	27.528905259180725	2.6124504150446404	0.0	0.0	3					
09_1A3 | snp_1A3_filtered									3.4148	95.57060038119441	96274.0	100736.0	0.36
09_MIT9313 | 09_MIT9313	51.45585162740496	149	99.94873226420471	99.84242222630557	99.60346314384873	88.31153694118272	22.342943821594915	41					
09_MIT9313 | snp_MIT9313_filtered									41.7273	98.85608534655191	601477.0	608437.0	0.35000000000000003
10_1A3 | 10_1A3	45.374091627172184	162	91.59553677910401	45.776491213063416	7.982036045256339	0.00047282614419091174	0.0	4					
10_1A3 | snp_1A3_filtered									4.7195	34.9765958165022	124339.0	355492.0	0.3
10_MIT0604 | 10_MIT0604	32.360183131840635	156	97.77204264348244	76.22912922647033	31.338982203418873	0.01056143581596361	0.0	7					
10_MIT0604 | snp_MIT0604_filtered									7.7389	25.593950045955143	79363.0	310085.0	0.19
10_Maricaulis | 10_Maricaulis	60.71560693641618	134	5.542599991688386	1.2690350809491864	0.2416008169129477	0.0	0.0	0					
10_Maricaulis | snp_Maricaulis_filtered									0.2068	2.549618644517286	4807.0	188538.0	11.540000000000001
11_1A3 | 11_1A3	45.52923184479595	150	72.84948460875678	14.290117095394608	0.7200497413103689	0.0	0.0	2					
11_1A3 | snp_1A3_filtered									2.417	66.78893764180268	66823.0	100051.0	0.26
11_MIT0604 | 11_MIT0604	32.65874349659357	148	99.73000925249191	99.58456479862207	99.02896586128229	94.46170664937887	65.45500407008524	56					
11_MIT0604 | snp_MIT0604_filtered									55.6046	94.6192140324401	591864.0	625522.0	0.16999999999999998
11_Maricaulis | 11_Maricaulis	59.96850393700787	118	0.666680519357156	0.0006827397455458653	0.0	0.0	0.0	0					
