Module	Section	Sample Name	Source
QualiMap	genome_results	12_1A3 | snp_1A3_filtered	/data/home/dsher/oweissber/CCPA/work/dnaseq/qualimap/12_1A3/genome_results.txt
QualiMap	genome_results	21_DE | snp_DE_filtered	/data/home/dsher/oweissber/CCPA/work/dnaseq/qualimap/21_DE/genome_results.txt
QualiMap	genome_results	18_MIT0604 | snp_MIT0604_filtered	/data/home/dsher/oweissber/CCPA/work/dnaseq/qualimap/18_MIT0604/genome_results.txt
QualiMap	genome_results	17_Maricaulis | snp_Maricaulis_filtered	/data/home/dsher/oweissber/CCPA/work/dnaseq/qualimap/17_Maricaulis/genome_results.txt
QualiMap	genome_results	06_1A3 | snp_1A3_filtered	/data/home/dsher/oweissber/CCPA/work/dnaseq/qualimap/06_1A3/genome_results.txt
QualiMap	genome_results	13_1A3 | snp_1A3_filtered	/data/home/dsher/oweissber/CCPA/work/dnaseq/qualimap/13_1A3/genome_results.txt
QualiMap	genome_results	17_MIT0604 | snp_MIT0604_filtered	/data/home/dsher/oweissber/CCPA/work/dnaseq/qualimap/17_MIT0604/genome_results.txt
QualiMap	genome_results	14_Maricaulis | snp_Maricaulis_filtered	/data/home/dsher/oweissber/CCPA/work/dnaseq/qualimap/14_Maricaulis/genome_results.txt
QualiMap	genome_results	21_MIT0604 | snp_MIT0604_filtered	/data/home/dsher/oweissber/CCPA/work/dnaseq/qualimap/21_MIT0604/genome_results.txt
QualiMap	genome_results	15_Maricaulis | snp_Maricaulis_filtered	/data/home/dsher/oweissber/CCPA/work/dnaseq/qualimap/15_Maricaulis/genome_results.txt
QualiMap	genome_results	12_Maricaulis | snp_Maricaulis_filtered	/data/home/dsher/oweissber/CCPA/work/dnaseq/qualimap/12_Maricaulis/genome_results.txt
QualiMap	genome_results	11_MIT0604 | snp_MIT0604_filtered	/data/home/dsher/oweissber/CCPA/work/dnaseq/qualimap/11_MIT0604/genome_results.txt
QualiMap	genome_results	20_DE | snp_DE_filtered	/data/home/dsher/oweissber/CCPA/work/dnaseq/qualimap/20_DE/genome_results.txt
QualiMap	genome_results	18_Maricaulis | snp_Maricaulis_filtered	/data/home/dsher/oweissber/CCPA/work/dnaseq/qualimap/18_Maricaulis/genome_results.txt
QualiMap	genome_results	20_Maricaulis | snp_Maricaulis_filtered	/data/home/dsher/oweissber/CCPA/work/dnaseq/qualimap/20_Maricaulis/genome_results.txt
QualiMap	genome_results	06_MIT9313 | snp_MIT9313_filtered	/data/home/dsher/oweissber/CCPA/work/dnaseq/qualimap/06_MIT9313/genome_results.txt
QualiMap	genome_results	08_1A3 | snp_1A3_filtered	/data/home/dsher/oweissber/CCPA/work/dnaseq/qualimap/08_1A3/genome_results.txt
QualiMap	genome_results	10_Maricaulis | snp_Maricaulis_filtered	/data/home/dsher/oweissber/CCPA/work/dnaseq/qualimap/10_Maricaulis/genome_results.txt
QualiMap	genome_results	21_Maricaulis | snp_Maricaulis_filtered	/data/home/dsher/oweissber/CCPA/work/dnaseq/qualimap/21_Maricaulis/genome_results.txt
QualiMap	genome_results	14_1A3 | snp_1A3_filtered	/data/home/dsher/oweissber/CCPA/work/dnaseq/qualimap/14_1A3/genome_results.txt
QualiMap	genome_results	01_1A3 | snp_1A3_all	/data/home/dsher/oweissber/CCPA/work/dnaseq/qualimap/01_1A3/genome_results.txt
QualiMap	genome_results	20_MIT0604 | snp_MIT0604_filtered	/data/home/dsher/oweissber/CCPA/work/dnaseq/qualimap/20_MIT0604/genome_results.txt
QualiMap	genome_results	12_MIT0604 | snp_MIT0604_filtered	/data/home/dsher/oweissber/CCPA/work/dnaseq/qualimap/12_MIT0604/genome_results.txt
QualiMap	genome_results	16_DE | snp_DE_filtered	/data/home/dsher/oweissber/CCPA/work/dnaseq/qualimap/16_DE/genome_results.txt
QualiMap	genome_results	17_DE | snp_DE_filtered	/data/home/dsher/oweissber/CCPA/work/dnaseq/qualimap/17_DE/genome_results.txt
