name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alteromonas	226	G	5235	801	6036	0.70402
Marinobacter	2742	G	43	12	55	0.00646
Salinimonas	288793	G	1	0	1	0.00013
Paraglaciecola	1621534	G	1	0	1	0.00012
Shewanella	22	G	8	1	9	0.00106
Parashewanella	2547964	G	2	0	2	0.00025
Pseudoalteromonas	53246	G	4	0	4	0.00050
Colwellia	28228	G	2	0	2	0.00025
Idiomarina	135575	G	2	0	2	0.00028
Pseudomonas	286	G	90	24	114	0.01330
Permianibacter	1649479	G	1	0	1	0.00012
Acinetobacter	469	G	8	1	9	0.00108
Moraxella	475	G	1	0	1	0.00016
Enterobacter	547	G	2	2	4	0.00047
Pseudescherichia	2055880	G	1	9	10	0.00125
Shimwellia	1335483	G	1	1	2	0.00032
Lelliottia	1330545	G	1	6	7	0.00091
Gibbsiella	929812	G	1	0	1	0.00023
Sodalis	84565	G	4	1	5	0.00059
Dickeya	204037	G	4	1	5	0.00065
Serratia	613	G	4	2	6	0.00081
Chania	1745211	G	1	0	1	0.00016
Nissabacter	1964366	G	1	0	1	0.00019
Pantoea	53335	G	3	1	4	0.00054
Tatumella	82986	G	2	1	3	0.00035
Morganella	581	G	2	3	5	0.00065
Providencia	586	G	2	2	4	0.00052
Obesumbacterium	82982	G	1	2	3	0.00041
Pragia	82984	G	1	0	1	0.00017
Methylophaga	40222	G	47	30	77	0.00906
Thiomicrorhabdus	2039723	G	3	0	3	0.00036
Piscirickettsia	1237	G	1	0	1	0.00013
Thioploca	40751	G	1	0	1	0.00012
Halomonas	2745	G	8	3	11	0.00137
Cobetia	204286	G	2	0	2	0.00023
Kushneria	504090	G	2	0	2	0.00026
Pistricoccus	1897649	G	1	0	1	0.00014
Marinomonas	28253	G	1	0	1	0.00014
Marinobacterium	48075	G	1	0	1	0.00013
Bermanella	599651	G	1	0	1	0.00013
Bacterioplanes	1537406	G	1	0	1	0.00013
Alcanivorax	59753	G	4	6	10	0.00118
Gynuella	1445504	G	1	0	1	0.00013
Litoricola	418700	G	1	0	1	0.00013
Kangiella	261963	G	1	0	1	0.00012
Nitrosococcus	1227	G	4	0	4	0.00057
Rheinheimera	67575	G	3	1	4	0.00051
Marichromatium	85076	G	1	1	2	0.00028
Thioalkalivibrio	106633	G	2	1	3	0.00046
Ectothiorhodospira	1051	G	1	1	2	0.00026
Spiribacter	1335745	G	1	0	1	0.00013
Sulfuriflexus	1860077	G	4	0	4	0.00048
Halothiobacillus	109262	G	3	0	3	0.00042
Woeseia	1738655	G	2	0	2	0.00024
Thiohalobacter	1273155	G	1	0	1	0.00015
Sulfurivermis	2034504	G	1	4	5	0.00060
Stenotrophomonas	40323	G	8	7	15	0.00186
Xanthomonas	338	G	5	1	6	0.00074
Lysobacter	68	G	4	1	5	0.00061
Luteimonas	83614	G	1	0	1	0.00017
Rhodanobacter	75309	G	1	1	2	0.00024
Dyella	231454	G	1	1	2	0.00023
Ahniella	2233801	G	1	0	1	0.00013
Vibrio	662	G	7	1	8	0.00099
Grimontia	246861	G	1	0	1	0.00016
Aeromonas	642	G	5	1	6	0.00078
Tolumonas	43947	G	1	1	2	0.00027
Oceanimonas	129577	G	1	0	1	0.00020
Oceanisphaera	225143	G	1	0	1	0.00014
Methylomicrobium	39773	G	4	0	4	0.00056
Methylococcus	413	G	2	0	2	0.00028
Methylomonas	416	G	1	0	1	0.00012
Cellvibrio	10	G	2	0	2	0.00027
Simiduia	447467	G	1	0	1	0.00014
Microbulbifer	48073	G	2	2	4	0.00050
Gallibacterium	155493	G	1	1	2	0.00027
Pseudohongiella	1524249	G	1	0	1	0.00012
Thiolapillus	1608298	G	1	0	1	0.00012
Legionella	445	G	1	1	2	0.00026
Salinisphaera	180541	G	1	0	1	0.00012
Steroidobacter	469322	G	1	1	2	0.00023
Maricaulis	74317	G	224	230	454	0.05302
Glycocaulis	1433402	G	18	13	31	0.00366
Hyphomonas	85	G	14	6	20	0.00236
Hirschia	2723	G	1	0	1	0.00014
Labrenzia	478070	G	10	6	16	0.00198
Ruegeria	97050	G	6	7	13	0.00161
Roseovarius	74030	G	5	10	15	0.00186
Roseobacter	2433	G	4	15	19	0.00227
Sulfitobacter	60136	G	4	3	7	0.00087
Rhodobacter	1060	G	3	3	6	0.00080
Pseudohalocynthiibacter	1759417	G	3	6	9	0.00110
Paracoccus	265	G	3	4	7	0.00091
Phaeobacter	302485	G	3	4	7	0.00084
Dinoroseobacter	309512	G	2	10	12	0.00143
Celeribacter	875170	G	2	5	7	0.00091
Pannonibacter	227873	G	2	72	74	0.00870
Octadecabacter	53945	G	2	0	2	0.00028
Thalassococcus	436357	G	1	0	1	0.00015
Parasedimentitalea	2738399	G	1	0	1	0.00018
Silicimonas	1955420	G	1	0	1	0.00018
Brevirhabdus	1855413	G	1	5	6	0.00074
Rhodovulum	34008	G	1	1	2	0.00030
Marivivens	1759396	G	1	4	5	0.00061
Planktomarina	1284657	G	1	0	1	0.00015
Thioclava	285107	G	1	2	3	0.00037
Leisingera	191028	G	1	5	6	0.00081
Pseudovibrio	258255	G	1	1	2	0.00024
Gemmobacter	204456	G	1	1	2	0.00029
Rhizobium	379	G	13	61	74	0.00871
Agrobacterium	357	G	7	14	21	0.00249
Neorhizobium	1525371	G	1	1	2	0.00029
Sinorhizobium	28105	G	6	27	33	0.00391
Shinella	323620	G	3	41	44	0.00522
Georhizobium	2661800	G	1	4	5	0.00065
Bradyrhizobium	374	G	23	24	47	0.00557
Bosea	85413	G	10	16	26	0.00303
Nitrobacter	911	G	2	3	5	0.00061
Rhodopseudomonas	1073	G	2	7	9	0.00108
Variibacter	1649510	G	1	0	1	0.00021
Mesorhizobium	68287	G	14	16	30	0.00361
Hoeflea	274591	G	3	3	6	0.00070
Roseitalea	1915401	G	2	3	5	0.00064
Aminobacter	31988	G	1	5	6	0.00075
Chelativorans	449972	G	1	1	2	0.00030
Oricola	1594166	G	1	1	2	0.00031
Salaquimonas	2712688	G	1	0	1	0.00018
Devosia	46913	G	4	3	7	0.00086
Hyphomicrobium	81	G	2	1	3	0.00042
Rhodomicrobium	1068	G	2	1	3	0.00039
Pyruvatibacter	1742974	G	7	6	13	0.00159
Parvibaculum	256616	G	1	11	12	0.00150
Candidatus Phaeomarinobacter	1541445	G	1	1	2	0.00029
Methylobacterium	407	G	1	0	1	0.00012
Microvirga	186650	G	1	5	6	0.00071
Ochrobactrum	528	G	3	21	24	0.00289
Brucella	234	G	2	5	7	0.00092
Methyloceanibacter	1484898	G	3	1	4	0.00058
Nordella	169055	G	1	0	1	0.00017
Methylocystis	133	G	1	1	2	0.00027
Methylosinus	425	G	1	1	2	0.00031
Terasakiella	196080	G	1	0	1	0.00015
Azorhizobium	6	G	1	1	2	0.00035
Labrys	204476	G	1	1	2	0.00025
Pseudolabrys	556257	G	1	2	3	0.00036
Cohaesibacter	655352	G	2	1	3	0.00038
Breoghania	1406135	G	1	1	2	0.00032
Chelatococcus	28209	G	2	5	7	0.00083
Bartonella	773	G	1	7	8	0.00098
Martelella	293088	G	1	2	3	0.00039
Sphingomonas	13687	G	15	32	47	0.00551
Sphingobium	165695	G	5	51	56	0.00662
Novosphingobium	165696	G	3	2	5	0.00070
Sphingopyxis	165697	G	3	11	14	0.00166
Parasphingopyxis	1234545	G	2	0	2	0.00029
Sphingorhabdus	1434046	G	2	0	2	0.00024
Zymomonas	541	G	1	0	1	0.00021
Sphingosinicella	335405	G	1	0	1	0.00016
Porphyrobacter	1111	G	3	3	6	0.00075
Erythrobacter	1041	G	1	11	12	0.00145
Altererythrobacter	361177	G	1	0	1	0.00020
Brevundimonas	41275	G	17	16	33	0.00394
Caulobacter	75	G	16	15	31	0.00362
Asticcacaulis	76890	G	8	8	16	0.00194
Phenylobacterium	20	G	2	7	9	0.00114
Acetobacter	434	G	3	0	3	0.00042
Komagataeibacter	1434011	G	3	6	9	0.00107
Acidibrevibacterium	2603324	G	1	1	2	0.00033
Stella	93	G	1	1	2	0.00025
Neokomagataea	1223423	G	1	1	2	0.00024
Granulibacter	364409	G	1	0	1	0.00019
Asaia	91914	G	1	0	1	0.00022
Gluconacetobacter	89583	G	1	2	3	0.00045
Gluconobacter	441	G	1	1	2	0.00026
Azospirillum	191	G	6	13	19	0.00226
Thalassospira	168934	G	3	8	11	0.00139
Magnetospirillum	13134	G	2	2	4	0.00048
Tistrella	171436	G	1	4	5	0.00063
Skermanella	204447	G	1	1	2	0.00029
Nitrospirillum	1543705	G	1	1	2	0.00030
Pararhodospirillum	1612157	G	1	0	1	0.00023
Indioceanicola	2478349	G	1	1	2	0.00032
Micavibrio	213485	G	3	0	3	0.00039
Phreatobacter	1632780	G	3	10	13	0.00161
Emcibacter	1602338	G	4	1	5	0.00067
Parvularcula	208215	G	3	1	4	0.00055
Burkholderia	32008	G	4	5	9	0.00112
Cupriavidus	106589	G	3	16	19	0.00230
Polynucleobacter	44013	G	1	0	1	0.00012
Pandoraea	93217	G	1	0	1	0.00015
Paraburkholderia	1822464	G	1	0	1	0.00018
Bordetella	517	G	2	3	5	0.00066
Achromobacter	222	G	1	3	4	0.00049
Alcaligenes	507	G	1	1	2	0.00030
Acidovorax	12916	G	1	15	16	0.00196
Hylemonella	232523	G	1	0	1	0.00017
Polaromonas	52972	G	1	0	1	0.00017
Hydrogenophaga	47420	G	1	3	4	0.00054
Variovorax	34072	G	1	0	1	0.00016
Comamonas	283	G	1	1	2	0.00025
Collimonas	202907	G	2	0	2	0.00033
Undibacterium	401469	G	1	3	4	0.00047
Rubrivivax	28067	G	1	0	1	0.00023
Ferriphaselus	1443590	G	1	0	1	0.00014
Sulfuriferula	1778653	G	1	1	2	0.00024
Nitrosomonas	914	G	2	0	2	0.00030
Methylobacillus	404	G	1	1	2	0.00026
Pseudogulbenkiania	568394	G	2	3	5	0.00064
Neisseria	482	G	1	0	1	0.00013
Azoarcus	12960	G	3	5	8	0.00100
Thauera	33057	G	1	5	6	0.00071
Corallococcus	83461	G	1	1	2	0.00024
Sorangium	39643	G	2	0	2	0.00024
Pelobacter	18	G	1	1	2	0.00028
Geoalkalibacter	392332	G	1	0	1	0.00015
Desulfovibrio	872	G	1	0	1	0.00012
Pseudodesulfovibrio	2035811	G	1	0	1	0.00012
