name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alteromonas	226	G	69796	3899	73695	0.85034
Marinobacter	2742	G	116	12	128	0.00148
Glaciecola	89404	G	5	0	5	0.00006
Salinimonas	288793	G	3	0	3	0.00004
Saliniradius	2661818	G	3	0	3	0.00004
Lacimicrobium	1751872	G	1	0	1	0.00001
Hydrocarboniclastica	2650549	G	1	0	1	0.00001
Shewanella	22	G	25	5	30	0.00035
Parashewanella	2547964	G	1	0	1	0.00002
Pseudoalteromonas	53246	G	10	0	10	0.00012
Idiomarina	135575	G	5	0	5	0.00006
Colwellia	28228	G	2	0	2	0.00002
Moritella	58050	G	1	0	1	0.00001
Pseudomonas	286	G	285	87	372	0.00429
Azotobacter	352	G	3	0	3	0.00004
Acinetobacter	469	G	16	3	19	0.00022
Moraxella	475	G	4	0	4	0.00005
Psychrobacter	497	G	3	1	4	0.00005
Methylophaga	40222	G	136	36	172	0.00199
Hydrogenovibrio	28884	G	9	0	9	0.00011
Thiomicrorhabdus	2039723	G	8	0	8	0.00009
Thiomicrospira	933	G	3	0	3	0.00004
Cycloclasticus	34067	G	1	0	1	0.00001
Enterobacter	547	G	11	6	17	0.00020
Salmonella	590	G	6	4	10	0.00013
Citrobacter	544	G	3	0	3	0.00003
Leclercia	83654	G	2	4	6	0.00007
Limnobaculum	2172100	G	2	8	10	0.00012
Klebsiella	570	G	2	7	9	0.00011
Escherichia	561	G	2	24	26	0.00030
Shigella	620	G	1	0	1	0.00001
Kluyvera	579	G	1	0	1	0.00002
Raoultella	160674	G	1	0	1	0.00001
Kosakonia	1330547	G	1	1	2	0.00002
Pluralibacter	1330546	G	1	0	1	0.00002
Pantoea	53335	G	9	2	11	0.00013
Tatumella	82986	G	4	1	5	0.00006
Erwinia	551	G	2	1	3	0.00004
Mixta	2100764	G	2	2	4	0.00005
Serratia	613	G	10	8	18	0.00021
Yersinia	629	G	3	0	3	0.00004
Rouxiella	1565532	G	1	0	1	0.00002
Nissabacter	1964366	G	1	0	1	0.00002
Dickeya	204037	G	5	1	6	0.00008
